event_ticker|player|result|ts|price|yes_bid|yes_ask|msg_type|volume|open_interest|taker_side|close_ts|settlement_ts
KXWTAMATCH-26JUL14AMAJAC|Amariei vs Jacquemot|Elsa Jacquemot|yes|1784056668811|0.99|0.0|0.0|trade|0.56|0.0|no|1784056862000|1784056989842
KXWTAMATCH-26JUL14AMAJAC|Amariei vs Jacquemot|Elsa Jacquemot|yes|1784056668811|0.99|0.99|1.0|ticker|775220.28|384423.74||1784056862000|1784056989842
KXWTAMATCH-26JUL14AMAJAC|Amariei vs Jacquemot|Elsa Jacquemot|yes|1784056674720|0.99|0.99|1.0|ticker|775220.28|384423.74||1784056862000|1784056989842
KXWTAMATCH-26JUL14AMAJAC|Amariei vs Jacquemot|Elsa Jacquemot|yes|1784056686509|0.99|0.0|0.0|trade|1549.66|0.0|no|1784056862000|1784056989842
KXWTAMATCH-26JUL14AMAJAC|Amariei vs Jacquemot|Elsa Jacquemot|yes|1784056686509|0.99|0.0|0.0|trade|5000.0|0.0|no|1784056862000|1784056989842
KXWTAMATCH-26JUL14AMAJAC|Amariei vs Jacquemot|Elsa Jacquemot|yes|1784056686509|0.99|0.0|0.0|trade|23.0|0.0|no|1784056862000|1784056989842
KXWTAMATCH-26JUL14AMAJAC|Amariei vs Jacquemot|Elsa Jacquemot|yes|1784056686509|0.99|0.0|0.0|trade|3426.34|0.0|no|1784056862000|1784056989842
KXWTAMATCH-26JUL14AMAJAC|Amariei vs Jacquemot|Elsa Jacquemot|yes|1784056686509|0.99|0.99|1.0|ticker|795218.28|399677.26||1784056862000|1784056989842
KXWTAMATCH-26JUL14AMAJAC|Amariei vs Jacquemot|Elsa Jacquemot|yes|1784056689961|0.99|0.99|1.0|ticker|795218.28|399677.26||1784056862000|1784056989842
KXWTAMATCH-26JUL14AMAJAC|Amariei vs Jacquemot|Elsa Jacquemot|yes|1784056695424|0.99|0.0|0.0|trade|11473.66|0.0|no|1784056862000|1784056989842
KXWTAMATCH-26JUL14AMAJAC|Amariei vs Jacquemot|Elsa Jacquemot|yes|1784056695424|0.99|0.0|0.0|trade|15100.0|0.0|no|1784056862000|1784056989842
KXWTAMATCH-26JUL14AMAJAC|Amariei vs Jacquemot|Elsa Jacquemot|yes|1784056695424|0.99|0.0|0.0|trade|10000.0|0.0|no|1784056862000|1784056989842
KXWTAMATCH-26JUL14AMAJAC|Amariei vs Jacquemot|Elsa Jacquemot|yes|1784056695424|0.99|0.0|0.0|trade|4900.0|0.0|no|1784056862000|1784056989842
KXWTAMATCH-26JUL14AMAJAC|Amariei vs Jacquemot|Elsa Jacquemot|yes|1784056695424|0.99|0.0|0.0|trade|1050.0|0.0|no|1784056862000|1784056989842
KXWTAMATCH-26JUL14AMAJAC|Amariei vs Jacquemot|Elsa Jacquemot|yes|1784056695424|0.99|0.0|0.0|trade|1050.0|0.0|no|1784056862000|1784056989842
KXWTAMATCH-26JUL14AMAJAC|Amariei vs Jacquemot|Elsa Jacquemot|yes|1784056695424|0.99|0.0|0.0|trade|400.0|0.0|no|1784056862000|1784056989842
KXWTAMATCH-26JUL14AMAJAC|Amariei vs Jacquemot|Elsa Jacquemot|yes|1784056695424|0.99|0.0|0.0|trade|400.0|0.0|no|1784056862000|1784056989842
KXWTAMATCH-26JUL14AMAJAC|Amariei vs Jacquemot|Elsa Jacquemot|yes|1784056695424|0.99|0.0|0.0|trade|1630.0|0.0|no|1784056862000|1784056989842
KXWTAMATCH-26JUL14AMAJAC|Amariei vs Jacquemot|Elsa Jacquemot|yes|1784056695424|0.99|0.0|0.0|trade|250.0|0.0|no|1784056862000|1784056989842
KXWTAMATCH-26JUL14AMAJAC|Amariei vs Jacquemot|Elsa Jacquemot|yes|1784056695424|0.99|0.99|1.0|ticker|887725.6|492184.58||1784056862000|1784056989842
KXWTAMATCH-26JUL14AMAJAC|Amariei vs Jacquemot|Elsa Jacquemot|yes|1784056714464|0.99|0.99|1.0|ticker|887725.6|492184.58||1784056862000|1784056989842
KXWTAMATCH-26JUL14AMAJAC|Amariei vs Jacquemot|Elsa Jacquemot|yes|1784056722085|0.99|0.99|1.0|ticker|887725.6|492184.58||1784056862000|1784056989842
